Radeon R9 360,2015-05-21,1.612799999999999955e+03,1.007999999999999972e+02
Radeon R9 380,2015-06-05,3.383250000000000000e+03,2.119499999999999886e+02
Radeon R7 370,2015-06-21,1.996799999999999955e+03,1.247999999999999972e+02
Radeon R7 360,2015-06-21,1.612799999999999955e+03,1.007999999999999972e+02
Radeon R9 390X,2015-06-21,5.913600000000000364e+03,7.392000000000000455e+02
Radeon R9 Fury X,2015-06-21,8.601600000000000364e+03,5.376000000000000227e+02
Radeon R9 390,2015-06-21,5.120000000000000000e+03,6.400000000000000000e+02
FirePro S9170,2015-07-08,5.240000000000000000e+03,2.620000000000000000e+03
Radeon R9 Fury,2015-07-21,7.168000000000000000e+03,4.480000000000000000e+02
Radeon R9 370X,2015-08-21,2.560000000000000000e+03,1.600000000000000000e+02
Radeon R9 Nano,2015-08-21,8.192000000000000000e+03,5.120000000000000000e+02
Radeon R7 350,2015-10-06,8.767999999999999545e+02,2.454799999999999727e+03
Radeon R9 380X,2015-11-21,3.973099999999999909e+03,2.483000000000000114e+02
FirePro W4300,2015-12-01,1.428500000000000000e+03,8.929999999999999716e+01
FirePro S7150 X2,2016-02-01,7.540000000000000000e+03,5.000000000000000000e+02
FirePro S7150,2016-02-01,3.763000000000000000e+03,2.500000000000000000e+02
FirePro S9300 x2,2016-03-31,1.390000000000000000e+04,8.680000000000000000e+02
RadeonPro Duo,2016-04-21,1.638400000000000000e+04,1.024000000000000000e+03
FirePro S7100X,2016-05-25,2.961000000000000000e+03,nan
Radeon R7 430,2016-06-21,5.990000000000000000e+02,3.743999999999999773e+01
Radeon R7 435,2016-06-21,5.890000000000000000e+02,3.679999999999999716e+01
Radeon R7 450,2016-06-21,1.075000000000000000e+03,6.520000000000000284e+01
Radeon RX 480,2016-06-21,5.834000000000000000e+03,3.650000000000000000e+02
Radeon R5 435,2016-06-21,6.590000000000000000e+02,4.120000000000000284e+01
Radeon R5 430,2016-06-21,5.990000000000000000e+02,3.743999999999999773e+01
Radeon RX 455,2016-06-21,1.613000000000000000e+03,1.007999999999999972e+02
Radeon RX 470,2016-08-21,4.940000000000000000e+03,3.090000000000000000e+02
Radeon RX 460,2016-08-21,2.150000000000000000e+03,1.320000000000000000e+02
Radeon Pro 450,2016-10-21,9.920000000000000000e+02,6.200000000000000000e+01
Radeon Pro 460,2016-10-21,1.863700000000000045e+03,1.160000000000000000e+02
Radeon RX 470D,2016-10-21,4.322000000000000000e+03,2.700000000000000000e+02
Radeon Pro 455,2016-10-21,1.305599999999999909e+03,8.159999999999999432e+01
Radeon Pro WX 4100,2016-11-21,2.400000000000000000e+03,1.500000000000000000e+02
Radeon Pro WX 5100,2016-11-21,3.910000000000000000e+03,2.440000000000000000e+02
Radeon Pro WX 7100,2016-11-21,5.710000000000000000e+03,3.570000000000000000e+02
Radeon Instinct MI8,2016-12-21,8.200000000000000000e+03,5.120000000000000000e+02
Radeon Instinct MI6,2016-12-21,5.800000000000000000e+03,3.580000000000000000e+02
Radeon Instinct MI25,2016-12-21,1.230000000000000000e+04,7.680000000000000000e+02
Radeon Pro SSG,2017-02-19,1.024100000000000000e+04,6.400000000000000000e+02
Radeon ProWX 4170 Mobile,2017-03-21,2.157000000000000000e+03,1.350000000000000000e+02
Radeon ProWX 7100 Mobile,2017-03-21,5.728000000000000000e+03,3.580000000000000000e+02
Radeon ProWX 4150 Mobile,2017-03-21,1.887000000000000000e+03,1.180000000000000000e+02
Radeon ProWX 4130 Mobile,2017-03-21,1.348000000000000000e+03,8.423999999999999488e+01
Radeon ProWX 3100 Mobile,2017-03-21,1.250000000000000000e+03,7.800000000000000000e+01
Radeon ProWX 2100 Mobile,2017-03-21,1.250000000000000000e+03,7.800000000000000000e+01
Radeon RX 580,2017-04-18,6.175000000000000000e+03,3.858999999999999773e+02
Radeon RX 570,2017-04-18,5.095000000000000000e+03,3.183999999999999773e+02
Radeon520,2017-04-18,6.590000000000000000e+02,nan
Radeon RX 540,2017-04-18,1.248000000000000000e+03,7.800000000000000000e+01
Radeon530,2017-04-18,7.860000000000000000e+02,nan
Radeon RX 550,2017-04-20,1.211000000000000000e+03,7.570000000000000284e+01
Radeon Pro560,2017-06-21,1.858000000000000000e+03,1.160000000000000000e+02
Radeon Pro555,2017-06-21,1.306000000000000000e+03,9.600000000000000000e+01
Radeon Pro580,2017-06-21,5.530000000000000000e+03,3.450000000000000000e+02
Radeon Pro WX 3100,2017-06-21,1.250000000000000000e+03,7.800000000000000000e+01
Radeon Pro WX 2100,2017-06-21,1.250000000000000000e+03,7.800000000000000000e+01
Radeon Pro575,2017-06-21,4.506000000000000000e+03,2.810000000000000000e+02
Radeon Pro570,2017-06-21,3.584000000000000000e+03,2.240000000000000000e+02
Radeon Vega Frontier Edition,2017-06-27,1.221400000000000000e+04,7.634000000000000909e+02
Radeon RX 560D,2017-07-21,2.106000000000000000e+03,1.315999999999999943e+02
Radeon RX 560,2017-08-05,2.358500000000000000e+03,1.473999999999999773e+02
Radeon RX Vega 64 Liquid,2017-08-14,1.373800000000000000e+04,8.590000000000000000e+02
Radeon RX Vega 64,2017-08-14,1.266500000000000000e+04,7.920000000000000000e+02
Radeon RX Vega 56,2017-08-28,1.054400000000000000e+04,6.590000000000000000e+02
Radeon Pro WX 9100,2017-09-21,1.228800000000000000e+04,7.680000000000000000e+02
Radeon RX 550X,2018-04-03,1.647000000000000000e+03,1.030000000000000000e+02
Radeon550X,2018-04-11,1.647000000000000000e+03,1.030000000000000000e+02
